Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Billy Connolly's Tracks Across America,['Billy Connolly'],ePUB,19.99,19.99,075156415X,2016-03-31,"Little, Brown Book Group",288
Dying for a Cruise,['Joyce Cato'],E-Book,0,0,1306020271,2012-01-01,Robert Hale & Company,225
Me Talk Pretty One Day,['David Sedaris'],ePUB,12.99,12.99,0748123032,2010-08-05,"Little, Brown Book Group",288
The Red Tent,['Anita Diamant'],ePUB,12.35,8.95,0330507079,2009-09-18,,0
The Bones Beneath,['Mark Billingham'],ePUB,11.99,11.99,1405527587,2014-05-22,"Little, Brown Book Group",400
Brain Freeze,['Tom Fletcher'],ePUB,1.99,1.99,0241334225,2018-02-22,Penguin Random House Children's UK,112
A Winter's Tale,['Trisha Ashley'],ePUB,9.99,9.99,0007328915,2009-05-29,HarperCollins Publishers,416
Mere Christianity,['C. S. Lewis'],ePUB,5.99,5.99,0061947431,2009-06-02,HarperCollins,256
A Mother's Courage,['Dilly Court'],ePUB,15.99,15.99,1407004565,2008-09-04,Random House,544
One Cretan Evening and Other Stories,['Victoria Hislop'],ePUB,3.99,3.99,0755389506,2011-09-15,Headline,72
Quite Ugly One Morning,['Christopher Brookmyre'],ePUB,11.99,11.99,0748132031,2011-06-16,"Little, Brown Book Group",320
The Hairy Bikers' 12 Days of Christmas,['Hairy Bikers'],ePUB,19.99,19.99,0297864548,2010-12-02,Orion,224
Immortal in Death,['J.D. Robb'],ePUB,11.99,11.99,0748121773,2010-10-07,"Little, Brown Book Group",352
The Lost Sisters,['Holly Black'],ePUB,3.99,3.99,0316310441,2018-10-02,"Little, Brown Books for Young Readers",100
The Tea Planter's Wife,['Dinah Jefferies'],ePUB,15.99,15.99,0241969565,2015-09-03,Penguin Books Ltd,386
The Legion (Eagles of the Empire 10),['Simon Scarrow'],ePUB,12.99,12.99,0755357205,2010-11-11,Headline,448
Ayoade on Top,['Richard Ayoade'],ePUB,14.29,12.99,0571339158,2019-09-03,Faber & Faber,256
Book not found for ISBN 9780062982735,,,,,,,,
Rivers of London,['Ben Aaronovitch'],ePUB,11.99,11.99,0575097590,2011-01-10,Orion,384
Village Christmas,['Laurie Lee'],ePUB,14.99,14.99,0241243688,2015-11-05,Penguin Books Ltd,200
Into the Fire,['Gregg Hurwitz'],ePUB,15.99,15.99,1405928573,2020-02-20,Penguin Books Ltd,400
The Bracelet,['Fredrica Alleyn'],ePUB,16.99,16.99,0753549042,2013-04-11,Ebury Publishing,320
Belle,['Lesley Pearse'],ePUB,15.99,15.99,0141964073,2011-02-03,Penguin Books Ltd,624
Revolting Rhymers,['Quentin Blake'],ePUB,0,0,0141386045,2017-02-06,Penguin Random House Children's UK,32
Rafa,"['Rafael Nadal', 'John Carlin']",ePUB,12.99,12.99,0748129456,2011-08-18,"Little, Brown Book Group",320
White Teeth,['Zadie Smith'],ePUB,15.99,15.99,0141939230,2001-01-25,Penguin Books Ltd,560
You Are the Placebo,['Dr. Joe Dispenza'],ePUB,27.86,22.99,1401944868,2014-04-29,Hay House,
An Almost Perfect Christmas,['Nina Stibbe'],ePUB,15.99,15.99,0241981360,2017-11-02,Penguin Books Ltd,176
Books for Girls,['Katrina Kahler'],ePUB,0,0,1370912862,2017-04-24,Katrina Kahler,
The Children's Block,['Otto B Kraus'],ePUB,15.99,15.99,147357322X,2019-10-17,Ebury Publishing,320
How Not to Be a Professional Racing Driver,['Jason Plato'],ePUB,14.99,14.99,0241404177,2019-09-19,Penguin Books Ltd,304
Book not found for ISBN 9780230768130,,,,,,,,
Caves of Steel,['Isaac Asimov'],ePUB,13.19,10.99,0307792412,2011-04-13,Random House Publishing Group,
The Paleo Diet Revised,['Loren Cordain'],ePUB,29.69,23.99,054418761X,2024-02-27,HarperCollins,288
Birds of Prey,['Wilbur Smith'],ePUB,13.95,10.5,0330473328,2008-09-04,,784
Billy and Me,['Giovanna Fletcher'],ePUB,15.99,15.99,140590996X,2013-05-23,Penguin Books Ltd,416
Somebody I Used to Know,['Wendy Mitchell'],ePUB,4.39,3.75,1387629921,2018-03-22,Lulu.com,0
John,['Michael Card'],Paperback,37.07,37.07,0830844139,2014-07-14,INTER VARSITY PR              ,237
1984,['George Orwell'],ePUB,9.99,9.99,0547249640,2013-09-03,HarperCollins,
Thief Of Time,['Terry Pratchett'],ePUB,15.99,15.99,1407035282,2008-10-09,Transworld,432
On Dublin Street,['Samantha Young'],ePUB,15.99,15.99,1405912995,2012-10-25,Penguin Books Ltd,416
Book not found for ISBN 9780307414144,,,,,,,,
Hinds' Feet on High Places,['Hannah Hurnard'],Hardcover,28.99,26.25,084231394X,1986-07-25,TYNDALE PUB                   ,320
Dominic,['L.A. Casey'],ePUB,4.99,4.99,0992984912,2016-03-13,?L.A. Casey,
Holy Bible,['Tyndale House Publishers'],Hardcover,44.99,29.75,0842384898,2004-07-01,Tyndale House Publishers,1024
Be As You Are,"['David Godman', 'Sri Ramana Maharshi']",ePUB,14.99,14.99,0141935383,2000-01-01,Penguin Books Ltd,272
Before They Are Hanged : First Law,['Joe Abercrombie'],ePUB,12.99,12.99,0575091517,2009-06-18,Orion,592
Underland,['Robert Macfarlane'],ePUB,16.99,16.99,0241146429,2019-05-02,Penguin Books Ltd,496
Moving Pictures,['Terry Pratchett'],ePUB,15.99,15.99,1407034731,2009-05-27,Transworld,400
Gateway to the Seer Realm,['Barbie Breathitt'],Paperback,32.63,32.63,0768403057,2012-08-21,DESTINY IMAGE INC             ,316
Goodnight Lady,['Martina Cole'],Paperback,24.99,21.75,075537407X,2011-01-01,Headline,832
Pop Goes the Weasel,['M. J. Arlidge'],ePUB,15.99,15.99,1405914971,2014-09-11,Penguin Books Ltd,464
Furry Friends,['K Campbell'],ePUB,0,0,1311796657,2016-02-26,Katrina Kahler,
The Dark Forest,"['Cixin Liu', 'Joel Martinsen']",Hardcover,51.9,51.9,076537708X,2015-08-11,Tor Books,512
Giovanni's Room,"['James Baldwin', 'Caryl Phillips']",ePUB,15.99,15.99,0141903988,2001-10-04,Penguin Books Ltd,176
Book not found for ISBN 9780141923680,,,,,,,,
Carrie's War,"['Nina Bawden', 'Eccleshare Julia']",ePUB,10.99,10.99,0141909412,2005-05-26,Penguin Books Ltd,192
A Mistletoe Kiss,['Katie Flynn'],ePUB,15.99,15.99,1407070746,2010-08-05,Random House,448
Hornblower and the Crisis,['C.S. Forester'],ePUB,15.99,15.99,0141928980,2006-10-05,Penguin Books Ltd,176
Stalingrad,['Antony Beevor'],ePUB,15.99,15.99,0141926104,2007-10-04,Penguin Books Ltd,512
Interesting Times,['Terry Pratchett'],ePUB,14.99,14.99,1407034960,2008-12-05,Transworld,432
Permafrost,['Alastair Reynolds'],ePUB,6.22,5.99,1250303559,2019-03-19,Tor Publishing Group,
The Woman Who Walked into the Sea,['Mark Douglas-Home'],ePUB,15.99,15.99,1405923598,2016-01-14,Penguin Books Ltd,336
The Diary of a Nobody,"['George Grossmith', 'Weedon Grossmith', 'Weedon Grossmith', 'Ed Glinert', 'Ed Glinert']",ePUB,10.99,10.99,0141905697,2000-01-01,Penguin Books Ltd,256
Kitchen Confidential,['Anthony Bourdain'],ePUB,19.99,17.99,1408820854,2010-12-20,Bloomsbury Publishing,336
Bless Her Dead Heart,['Meg Collett'],ePUB,1.39,1.39,046320882X,2019-07-24,Meg Collett,
The Enemy,['Tom Wood'],ePUB,16.99,16.99,0748122869,2012-03-13,"Little, Brown Book Group",400
A Wrinkle in Time,"[""Madeleine L'Engle""]",ePUB,9.99,9.99,0141929561,2007-11-01,Penguin Random House Children's UK,208
Book not found for ISBN 9780141347738,,,,,,,,
The Legend of Podkin One-Ear,"['Kieran Larwood', 'David Wyatt']",ePUB,10.99,9.99,057132827X,2016-10-04,Faber & Faber,288
A Spell of Winter,['Helen Dunmore'],ePUB,15.99,15.99,0141933410,2007-10-25,Penguin Books Ltd,320
Little Life,['Hanya Yanagihara'],E-Book,0,0,0385539266,2015-01-01,Knopf Doubleday Publishing Group,498
Guards! Guards!,['Terry Pratchett'],ePUB,14.99,14.99,1407034693,2008-12-16,Transworld,432
Healing Back Pain,['John E. Sarno'],ePUB,12.99,12.99,0759520844,2001-03-15,Grand Central Publishing,300
Smiley's People,['John le Carré'],ePUB,15.99,15.99,0241322537,2018-09-27,Penguin Books Ltd,464
Jolly Foul Play,['Robin Stevens'],ePUB,9.99,9.99,0141369701,2016-03-24,Penguin Random House Children's UK,336
One by One,['Chris Carter'],ePUB,16.99,16.99,0857203096,2013-08-15,Simon & Schuster UK,512
The Complete Book of Chalk Lettering,['Valerie McKeehan'],ePUB,23.99,23.99,0761187049,2015-10-06,Workman Publishing Company,144
Cross and Burn,['Val McDermid'],ePUB,11.99,11.99,1405523123,2013-10-10,"Little, Brown Book Group",448
"Ask Again, Yes",['Mary Beth Keane'],ePUB,15.99,15.99,1405943149,2019-08-08,Penguin Books Ltd,400
Book not found for ISBN 9780307416315,,,,,,,,
How to Be an Adult in Relationships,['David Richo'],ePUB,25.39,20.34,0834821036,2002-06-18,Shambhala,240
What's Tha Up To?,['Martyn Johnson'],ePUB,12.99,12.99,0748129022,2011-09-15,"Little, Brown Book Group",192
Lustrum,['Robert Harris'],ePUB,15.99,15.99,1409021319,2010-09-07,Random House,464
Book not found for ISBN 9780230757073,,,,,,,,
Me Before You,['Jojo Moyes'],ePUB,15.99,15.99,0141969180,2012-01-02,Penguin Books Ltd,528
The No. 1 Ladies' Detective Agency,['Alexander McCall Smith'],ePUB,11.99,11.99,0748110615,2008-10-02,"Little, Brown Book Group",256
The Magic of Thinking Big,['David J Schwartz'],ePUB,21.75,21.75,0698198581,2014-12-02,,256
Princeps' Fury,['Jim Butcher'],ePUB,11.99,11.99,074811288X,2009-12-03,"Little, Brown Book Group",512
Pathfinder's Way,['T.A. White'],ePUB,4.15,4.15,1310928339,2016-04-20,T.A. White,
Book not found for ISBN 9780061739255,,,,,,,,
The Final Day,['Dr William R Forstchen'],Hardcover,55.99,49.5,0765376733,2017-01-03,FORGE                         ,352
Inception,['Bianca Scardoni'],ePUB,6.25,6.25,0994865139,2015-09-30,,394
Barbarians at the Gate,"['Bryan Burrough', 'John Helyar']",ePUB,6.99,6.99,0061804037,2009-10-13,HarperCollins,624
Bones to Ashes,['Kathy Reichs'],ePUB,15.99,15.99,1407070045,2010-04-27,Random House,464
The Great Gatsby,['F. Scott Fitzgerald'],Paperback,29.95,29.95,0743273567,2004-10-01,SCRIBNER BOOKS CO             ,180
The Giver,['Lois Lowry'],ePUB,5.99,5.99,0547345909,2000-01-01,HarperCollins,192
Allotment Gardening for Dummies,['Sven Wombwell'],E-Book,0,0,1282547674,2010-02-12,For Dummies,459
Bad Behavior,['Mary Gaitskill'],ePUB,15.99,15.99,0241383110,2019-05-02,Penguin Books Ltd,208
Play of Death,"['Oliver Potzsch', 'Lee  Chadeayne']",Paperback,41.8,41.8,132866208X,2017-05-09,Houghton Mifflin,493
4th of July,"['James Patterson', 'Maxine Paetro']",Paperback,36.25,36.25,0446179663,2008-07-01,GRAND CENTRAL PUBL            ,400
Book not found for ISBN 9780060882662,,,,,,,,
Book not found for ISBN 9780230761230,,,,,,,,
Summernight,['Sarah K. L. Wilson'],ePUB,0,0,1393267440,2019-08-27,?Sarah K. L. Wilson,
Air Bound,['Christine Feehan'],ePUB,7.99,7.99,034940187X,2014-05-27,"Little, Brown Book Group",400
The Man Who Saw Everything,['Deborah Levy'],ePUB,15.99,15.99,0241977614,2019-08-29,Penguin Books Ltd,208
The Last,['Hanna Jameson'],ePUB,15.99,15.99,0241984009,2019-01-24,Penguin Books Ltd,352
2nd Chance,"['James Patterson', 'Andrew Gross']",ePUB,12.99,12.99,0755387066,2011-06-23,Headline,340
The Misfit,['Rosie Goodwin'],ePUB,11.99,11.99,0755385748,2012-05-10,Headline,313
The Bride,['Julie Garwood'],ePUB,17.14,13.99,1101533110,2011-06-07,Penguin Publishing Group,1
Book not found for ISBN 9780230739161,,,,,,,,
"Dead Beat (PI Kate Brannigan, Book 1)",['Val McDermid'],ePUB,12.99,12.99,0007327641,2009-05-22,HarperCollins Publishers,288
Demon's Dance,['Keri Arthur'],ePUB,6.99,6.99,0648324656,2019-02-12,KA Publishing PTY LTD,
Hornet Flight,['Ken Follett'],Paperback,30.4,30.4,1509865438,2019-01-30,Pan Macmillan UK,592
The End,['Ian Kershaw'],ePUB,16.99,16.99,0141957077,2011-08-25,Penguin Books Ltd,592
The Casual Vacancy,['J.K. Rowling'],ePUB,12.99,12.99,1405519223,2012-09-27,"Little, Brown Book Group",480
Book not found for ISBN 9780230760653,,,,,,,,
Shutter Island,['Dennis Lehane'],ePUB,11.99,11.99,0748124802,2010-10-21,"Little, Brown Book Group",304
Whatever It Takes,['Adele Parks'],ePUB,12.99,12.99,0755371364,2012-06-21,Headline,377
Mrs Dalloway,"['Virginia Woolf', 'Stella McNichol', 'Elaine Showalter']",ePUB,10.99,10.99,0141904100,2000-05-25,Penguin Books Ltd,288
Cold Days,['Jim Butcher'],Paperback,20.4,20.4,0356500950,2013-09-10,Little Brown,646
The Ship,['C.S. Forester'],ePUB,15.99,15.99,0141959231,2006-10-05,Penguin Books Ltd,256
Sharpe's Gold,['Bernard Cornwell'],ePUB,12.99,12.99,0007338678,2009-07-24,HarperCollins Publishers,304
Silent Scream (The Minneapolis Series Book 2),['Karen Rose'],ePUB,11.99,11.99,075537326X,2010-05-13,Headline,544
Narrative Economics,['Robert J. Shiller'],ePUB,39.59,31.67,0691189978,2019-10-01,Princeton University Press,400
Afghan Heat,['Steve Stone'],ePUB,5.18,5.18,1301917095,2016-02-02,Digital Dreams Publishing,
The Book of Life,['Deborah Harkness'],ePUB,12.99,12.99,0755384806,2014-07-15,Headline,592
Dark Watch,"['Clive Cussler', 'Jack du Brul']",ePUB,14.99,14.99,1405909919,2012-07-05,Penguin Books Ltd,496
Grief Is the Thing with Feathers,['Max Porter'],ePUB,14.29,12.99,0571323774,2015-09-15,Faber & Faber,96
Book not found for ISBN 9780307414311,,,,,,,,
Silver in the Wood,['Emily Tesh'],ePUB,6.22,5.99,1250229782,2019-06-18,Tor Publishing Group,
Keep Your Brain Alive,"['Lawrence Katz', 'Manning Rubin']",Paperback,20.25,20.25,0761168931,2014-06-02,Workman,204
Uprooted,['Naomi Novik'],E-Book,0,0,0804179042,2015-01-01,Random House Publishing Group,
A Short History of Brexit,"[""Kevin O'Rourke""]",ePUB,15.99,15.99,0241398339,2019-01-31,Penguin Books Ltd,320
Wedding Tiers,['Trisha Ashley'],ePUB,8.99,8.99,0007329059,2009-05-29,HarperCollins Publishers,416
Absolute Friends,['John le Carré'],ePUB,15.99,15.99,0241321948,2018-09-27,Penguin Books Ltd,464
Blood of Elves,"['Andrzej Sapkowski', 'Danusia Stok']",ePUB,12.99,12.99,0575087498,2010-08-19,Orion,320
Promise of Blood,['Brian McClellan'],ePUB,11.99,11.99,1405519940,2013-04-16,"Little, Brown Book Group",608
Keeping Up Appearances,['Elizabeth Stevens'],ePUB,5.49,4.25,0648264874,2018-06-01,Sleeping Dragon Books,500
A Dark-Adapted Eye,['Barbara Vine'],ePUB,15.99,15.99,0141938269,2009-05-07,Penguin Books Ltd,304
The Collector,['John Fowles'],ePUB,10.99,10.99,0316230200,2012-12-01,"Little, Brown and Company",320
Making Sense of the Troubles,"['David McKittrick', 'David McVea']",ePUB,18.99,18.99,0141952008,2001-11-29,Penguin Books Ltd,416
Having You Is Never Enough (Forever and Ever #4),['E. L. Todd'],ePUB,0,0,1310157200,2015-11-11,E. L. Todd,
Ambush,['Geraint Jones'],ePUB,15.99,15.99,140594403X,2019-12-12,Penguin Books Ltd,400
Dune: The Gateway Collection,['Frank Herbert'],ePUB,59.99,59.99,057512279X,2012-11-30,Orion,800
Sins of Empire,['Brian McClellan'],ePUB,12.99,12.99,0356509303,2017-03-07,"Little, Brown Book Group",640
Never Somewhere Else,['Alex Gray'],ePUB,12.99,12.99,0751555754,2013-10-31,"Little, Brown Book Group",320
Curious George Haunted Halloween,['H. A. Rey'],ePUB,2.99,2.99,054446561X,2014-06-17,HarperCollins,24
Don't Be Evil,['Rana Foroohar'],ePUB,16.99,16.99,0241404304,2019-11-07,Penguin Books Ltd,256
The Goodnight Train,"['June Sobel', 'Laura Huliska-Beith']",ePUB,11.99,11.99,0547769334,2006-09-01,HarperCollins,32
Bullied,['Vera Hollins'],ePUB,4.29,4.29,1393148549,2019-08-27,?Vera Hollins,
Dreamer,['Peter James'],Paperback,21.99,21.25,0752876783,2005-08-01,Orion,384
Survivor,['Lesley Pearse'],ePUB,15.99,15.99,0241961548,2014-02-13,Penguin Books Ltd,544
Milkman,['Anna Burns'],ePUB,16.49,14.99,0571338763,2018-05-15,Faber & Faber,352
The Rotters' Club,['Jonathan Coe'],ePUB,15.99,15.99,0141910046,2008-05-28,Penguin Books Ltd,416
Lessons in Stoicism,['John Sellars'],ePUB,14.99,14.99,0241382920,2019-09-05,Penguin Books Ltd,96
Middle England,['Jonathan Coe'],ePUB,15.99,15.99,0241981328,2018-11-08,Penguin Books Ltd,368
Book not found for ISBN 9780230754737,,,,,,,,
The Little Book of Hygge,['Meik Wiking'],ePUB,15.99,15.99,0241283930,2016-09-01,Penguin Books Ltd,288
Call for the Dead,['John le Carré'],ePUB,15.99,15.99,0141972246,2011-11-03,Penguin Books Ltd,160
Surface Detail,['Iain M Banks'],Paperback,22.99,20.35,1841498955,2011-05-31,Little Brown,640
Book not found for ISBN 9780230743847,,,,,,,,
Turn the Ship Around!,"['L. David Marquet', 'Stephen R. Covey']",ePUB,37.95,37.95,1101623691,2013-05-16,,240
The Girl You Left Behind,['Jojo Moyes'],ePUB,15.99,15.99,0141969199,2012-09-27,Penguin Books Ltd,544
Abaddon's Gate,['James S. A. Corey'],ePUB,12.99,12.99,0748122982,2013-06-04,"Little, Brown Book Group",560
The Volunteer,['Jack Fairweather'],ePUB,18.99,18.99,0753545195,2019-06-27,Ebury Publishing,528
"So Long, and Thanks for All the Fish",['Douglas Adams'],ePUB,13.95,10.4,0330513176,2009-09-01,,0
How to Win Friends and Influence People in the Digital Age,['Dale Carnegie Training'],ePUB,12.99,12.99,0857207296,2011-09-29,Simon & Schuster UK,272
Heir to the Empire,['Timothy Zahn'],ePUB,6.96,6.26,0307796108,2011-06-28,Random House Worlds,
Book not found for ISBN 9780230770096,,,,,,,,
Katy,['Jacqueline Wilson'],ePUB,9.99,9.99,014135397X,2015-07-30,Penguin Random House Children's UK,320
False God of Rome,['Robert Fabbri'],ePUB,7.49,6.99,0857899767,2013-01-01,Corvus,300
Wish You Were Here,['Catherine Alliott'],ePUB,15.99,15.99,1405917903,2015-02-26,Penguin Books Ltd,416
Splash and Bubbles,['The Jim Henson Company'],ePUB,2.99,2.99,1328561771,2018-12-25,HarperCollins,
The Spy Who Came in from the Cold,"['John le Carré', 'William Boyd']",ePUB,15.99,15.99,014196362X,2011-02-24,Penguin Books Ltd,272
Book not found for ISBN 9780141347790,,,,,,,,
I Am Dynamite!,['Sue Prideaux'],ePUB,16.49,14.99,057133623X,2018-10-02,Faber & Faber,416
The Blank Slate,['Steven Pinker'],ePUB,18.99,18.99,0141925914,2003-06-05,Penguin Books Ltd,528
Billion Dollar Whale,"['Tom Wright', 'Bradley Hope']",ePUB,23.99,23.99,0316436488,2018-09-18,Hachette Books,400
The Pragmatic Programmer,"['Andrew Hunt', 'David Thomas']",PDF,45.8,45.8,0132100673,1999-10-20,,352
The Secret Diaries Of Miss Anne Lister: Vol. 1,"['Anne Lister', 'Helena Whitbread']",ePUB,12.99,12.99,074812571X,2010-11-04,"Little, Brown Book Group",384
The Penguin Lessons,['Tom Michell'],ePUB,14.99,14.99,140592182X,2015-11-05,Penguin Books Ltd,288
The Value of Everything,['Mariana Mazzucato'],ePUB,15.99,15.99,0241188822,2018-04-26,Penguin Books Ltd,256
Auschwitz Escape,['Danny Naten'],ePUB,4.18,4.18,1301652814,2015-05-11,Danny Naten,
Endgame,['Chloe Walsh'],ePUB,7.59,7.59,1370239297,2023-03-23,Chloe Walsh,
Christmas with the Bomb Girls,['Daisy Styles'],ePUB,15.99,15.99,1405929812,2017-10-19,Penguin Books Ltd,400
Book not found for ISBN 9781310761898,,,,,,,,
Reinvention,['Brian Tracy'],ePUB,2.99,2.99,0814413471,2009-01-30,AMACOM,224
The Chaperone,['Laura Moriarty'],ePUB,21.75,21.75,110158565X,2012-06-05,,384
Heaven And Hell,['Don Felder'],ePUB,17.99,17.99,0297857029,2008-09-18,Orion,352
Little Blue Truck's Christmas,"['Alice Schertle', 'Jill McElmurry']",ePUB,10.99,10.99,0544553721,2014-09-23,HarperCollins,
The Art of Seduction,"['Robert Greene', 'Joost Elffers']",ePUB,27.99,22.99,110117529X,2003-10-07,Penguin Publishing Group,
Child of the Phoenix,['Barbara Erskine'],ePUB,10.99,10.99,0007320930,2009-03-13,HarperCollins Publishers,944
Book not found for ISBN 9780230760615,,,,,,,,
Surrender Experiment,['Michael A Singer'],E-Book,0,0,0804141118,2015-01-01,Potter/Tenspeed/Harmony,
Book not found for ISBN 9780230768123,,,,,,,,
Night Shift,['Stephen King'],ePUB,16.12,12.99,0385528841,2008-06-24,Knopf Doubleday Publishing Group,
Out Of The Sun,['Robert Goddard'],ePUB,14.99,14.99,140706830X,2010-03-30,Transworld,432
The Naked Warrior,['Pavel Tsatsouline'],ePUB,14.66,13.99,0938045873,2003-12-01,Dragon Door Publications,218
The Robots of Dawn,['Isaac Asimov'],ePUB,0,0,0307490246,2009-01-21,Random House Publishing Group,
The Fully Raw Diet,['Kristina Carrillo-Bucaram'],ePUB,34.99,34.99,0544562364,2016-01-05,HarperCollins,272
State of the Union,['Nick Hornby'],ePUB,15.99,15.99,0241987806,2019-05-07,Penguin Books Ltd,140
Eat to Live,['Joel Fuhrman'],ePUB,16.99,16.99,0316183202,2011-01-05,"Little, Brown and Company",400
Book not found for ISBN 9780061947353,,,,,,,,
The Far Pavilions,['M M Kaye'],ePUB,15.99,15.99,0141927135,2000-01-01,Penguin Books Ltd,960
The Blood Crows,['Simon Scarrow'],ePUB,11.99,11.99,0755357221,2013-10-24,Headline,448
The Tibetan Book of the Dead,['Karma-glin-pa (Karma Lingpa)'],ePUB,4.39,4.39,0943217121,2010-09-13,Summum,
Book not found for ISBN 9780141365855,,,,,,,,
The Pickwick Club,['Charles Dickens'],ePUB,4.39,3.95,130437808X,2013-08-31,,0
The Curry Secret,['Kris Dhillon'],ePUB,6.99,6.99,0716022524,2009-10-09,"Little, Brown Book Group",160
Trust No One,['Anthony Mosawi'],ePUB,15.99,15.99,0718186397,2018-06-01,Penguin Books Ltd,400
A Liverpool Legacy,['Anne Baker'],ePUB,11.99,11.99,0755399617,2013-11-21,Headline,384
